,Date,Close
1359,2021-09-22,3.11
1360,2021-09-23,3.11
1361,2021-09-24,2.93
1362,2021-09-25,2.93
1363,2021-09-26,2.93
1364,2021-09-27,3.11
1365,2021-09-28,3.06
1366,2021-09-29,2.89
1367,2021-09-30,3.05
1368,2021-10-01,3.01
1369,2021-10-02,3.01
1370,2021-10-03,3.01
1371,2021-10-04,3.0
1372,2021-10-05,3.05
1373,2021-10-06,2.89
1374,2021-10-07,3.03
1375,2021-10-08,2.9
1376,2021-10-09,2.9
1377,2021-10-10,2.9
1378,2021-10-11,2.92
1379,2021-10-12,3.35
1380,2021-10-13,3.54
1381,2021-10-14,3.42
1382,2021-10-15,3.41
1383,2021-10-16,3.41
1384,2021-10-17,3.41
1385,2021-10-18,3.49
1386,2021-10-19,3.56
1387,2021-10-20,3.99
1388,2021-10-21,3.92
1389,2021-10-22,3.92
1390,2021-10-23,3.92
1391,2021-10-24,3.92
1392,2021-10-25,4.04
1393,2021-10-26,4.02
1394,2021-10-27,3.76
1395,2021-10-28,3.85
1396,2021-10-29,3.72
1397,2021-10-30,3.72
1398,2021-10-31,3.72
1399,2021-11-01,3.89
1400,2021-11-02,4.0
1401,2021-11-03,4.38
1402,2021-11-04,4.57
1403,2021-11-05,4.58
1404,2021-11-06,4.58
1405,2021-11-07,4.58
1406,2021-11-08,5.08
1407,2021-11-09,5.28
1408,2021-11-10,5.2
1409,2021-11-11,5.49
1410,2021-11-12,5.47
1411,2021-11-13,5.47
1412,2021-11-14,5.47
1413,2021-11-15,5.16
1414,2021-11-16,4.88
1415,2021-11-17,4.75
1416,2021-11-18,4.9
1417,2021-11-19,4.29
1418,2021-11-20,4.29
1419,2021-11-21,4.29
1420,2021-11-22,4.1
1421,2021-11-23,4.37
1422,2021-11-24,4.32
1423,2021-11-25,4.32
1424,2021-11-26,4.14
1425,2021-11-27,4.14
1426,2021-11-28,4.14
1427,2021-11-29,4.29
1428,2021-11-30,3.92
1429,2021-12-01,3.55
1430,2021-12-02,3.65
1431,2021-12-03,3.34
1432,2021-12-04,3.34
1433,2021-12-05,3.34
1434,2021-12-06,3.27
1435,2021-12-07,3.6
1436,2021-12-08,3.74
1437,2021-12-09,3.55
1438,2021-12-10,3.47
1439,2021-12-11,3.47
1440,2021-12-12,3.47
1441,2021-12-13,3.37
1442,2021-12-14,3.23
1443,2021-12-15,3.57
1444,2021-12-16,3.41
1445,2021-12-17,3.28
1446,2021-12-18,3.28
1447,2021-12-19,3.28
1448,2021-12-20,3.32
1449,2021-12-21,3.47
1450,2021-12-22,3.44
1451,2021-12-23,3.42
1452,2021-12-24,3.42
1453,2021-12-25,3.42
1454,2021-12-26,3.42
1455,2021-12-27,3.86
1456,2021-12-28,3.65
1457,2021-12-29,3.55
1458,2021-12-30,3.38
1459,2021-12-31,3.35
1460,2022-01-01,3.35
1461,2022-01-02,3.35
1462,2022-01-03,3.7
1463,2022-01-04,3.81
1464,2022-01-05,3.86
1465,2022-01-06,3.68
1466,2022-01-07,3.88
1467,2022-01-08,3.88
1468,2022-01-09,3.88
1469,2022-01-10,3.76
1470,2022-01-11,3.72
1471,2022-01-12,3.61
1472,2022-01-13,3.28
1473,2022-01-14,3.32
1474,2022-01-15,3.32
